,Date,Avg. Title Len,Avg. Subtitle Len,Avg. Words in Whole Cover,Most Freq Words,Most Freq Word(prepro)
0,1700,19.22222222222222,13.777777777777779,95.77777777777777,"{'the': 65, 'and': 46, 'of': 43, 'in': 28, 'a': 20}","{'printed': 9, 'london:': 8, 'malayo': 5, 'whole': 4, 'first': 4}"
1,1710,16.333333333333332,24.22222222222222,103.22222222222223,"{'the': 91, 'of': 59, 'and': 53, 'in': 31, 'a': 19}","{'printed': 10, 'english': 6, 'king': 5, 'w.': 5, '1719.': 5}"
2,1720,12.666666666666666,16.11111111111111,102.0,"{'the': 55, 'of': 47, 'and': 41, 'in': 19, 'to': 12}","{'de': 9, 'printed': 7, 'london:': 6, '&c.': 6, 'j.': 5}"
3,1730,10.0,9.333333333333334,129.44444444444446,"{'the': 89, 'of': 62, 'and': 55, 'in': 42, 'by': 19}","{'printed': 8, 'london:': 6, '&c.': 5, 'containing': 4, 'st.': 4}"
4,1740,10.444444444444445,18.22222222222222,119.11111111111111,"{'the': 91, 'of': 80, 'and': 65, 'in': 32, 'to': 28}","{'printed': 9, 'english': 8, 'london:': 6, 'containing': 5, 'account': 5}"
5,1750,24.555555555555557,15.0,132.55555555555554,"{'the': 87, 'and': 61, 'of': 58, 'in': 35, 'to': 33}","{'printed': 9, 'english': 8, 'london:': 7, 'new': 5, 'edition,': 5}"
6,1760,20.444444444444443,1.7777777777777777,114.44444444444444,"{'the': 92, 'of': 57, 'and': 41, 'by': 28, 'in': 27}","{'printed': 9, '&c.': 9, 'english': 8, 'edition,': 5, 'london:': 4}"
7,1770,13.666666666666666,11.222222222222221,79.44444444444444,"{'the': 45, 'and': 41, 'of': 33, 'in': 24, 'a': 18}","{'printed': 8, 'thomas': 5, 't.': 4, 'john': 3, 'william': 3}"
8,1780,12.555555555555555,7.0,57.55555555555556,"{'of': 42, 'the': 40, 'and': 17, 'a': 15, 'by': 11}","{'printed': 9, 'j.': 8, 'london:': 7, 'm.': 5, 'new': 4}"
9,1790,14.222222222222221,33.0,88.55555555555556,"{'the': 53, 'and': 43, 'of': 42, 'by': 14, 'in': 14}","{'printed': 9, 'london:': 8, 'j.': 8, 'vol.': 4, 'r.': 4}"
10,1800,8.777777777777779,18.555555555555557,122.22222222222223,"{'and': 79, 'the': 68, 'of': 56, 'j.': 20, 'by': 19}","{'j.': 20, 'w.': 9, 'printed': 8, 'r.': 8, 'english': 6}"
11,1810,8.333333333333334,12.88888888888889,58.44444444444444,"{'the': 42, 'of': 37, 'and': 34, 'by': 16, 'with': 7}","{'printed': 6, 'london:': 6, 'j.': 4, 'united': 3, 'france,': 3}"
12,1820,16.22222222222222,12.11111111111111,105.44444444444444,"{'the': 57, 'and': 56, 'of': 43, 'to': 22, 'by': 16}","{'j.': 12, 'english': 9, 'r.': 9, 'w.': 8, 't.': 7}"
13,1830,8.11111111111111,9.0,56.77777777777778,"{'the': 40, 'of': 36, 'and': 23, 'by': 13, 'a': 10}","{'&': 5, 'london:': 5, 's.': 3, 'new': 3, 'r.': 3}"
14,1840,7.888888888888889,6.222222222222222,57.333333333333336,"{'the': 33, 'and': 32, 'of': 30, 'by': 12, 'in': 9}","{'london:': 5, 'co.': 5, 'author': 4, 'words': 4, 'history': 3}"
15,1850,0.0,0.0,32.333333333333336,"{'the': 17, 'of': 15, 'by': 9, 'and': 7, 'london:': 6}","{'london:': 6, 'author': 5, 'charles': 4, 'h.': 4, '&': 3}"
16,1860,0.0,0.0,36.333333333333336,"{'of': 12, 'by': 10, 'and': 9, 'in': 8, 'the': 8}","{'london:': 5, 'volumes.': 4, 'vol.': 4, 'right': 4, 'author': 4}"
17,1870,0.0,0.0,32.0,"{'the': 14, 'and': 14, 'of': 13, 'by': 12, 'with': 6}","{'london:': 5, '&': 5, 'illustrations': 4, 'author': 4, '[the': 3}"
18,1880,0.0,0.0,28.77777777777778,"{'by': 11, 'of': 11, 'the': 10, 'and': 9, '&': 6}","{'&': 6, 'new': 4, 'square': 3, 'henry': 3, 'author': 3}"
19,1890,0.0,0.0,26.333333333333332,"{'of': 17, 'the': 13, 'and': 10, 'by': 9, '""the': 5}","{'""the': 5, 'london': 4, 'new': 4, 'york': 4, 'author': 3}"
20,1900,0.0,0.0,22.666666666666668,"{'by': 13, 'of': 12, 'the': 10, 'new': 5, 'london': 5}","{'new': 5, 'london': 5, 'author': 4, 'york': 4, '&': 4}"
21,1910,0.0,0.0,22.88888888888889,"{'the': 16, 'of': 15, 'by': 12, 'new': 7, 'york': 7}","{'new': 7, 'york': 7, 'author': 4, '""the': 4, 'publishers': 4}"
22,1920,0.0,0.0,20.555555555555557,"{'by': 9, 'the': 6, 'of': 5, 'new': 4, '&': 4}","{'new': 4, '&': 4, 'york': 3, 'ohio': 2, 'company': 2}"
23,1930,0.0,0.0,5.0,"{'the': 5, 'new': 3, 'and': 2, 'by': 2, 'york': 2}","{'new': 3, 'york': 2, 'sound': 1, 'fury': 1, 'william': 1}"
24,1940,0.0,0.0,3.0,"{'the': 5, 'a': 2, 'hobbit': 1, 'rebecca': 1, 'grapes': 1}","{'hobbit': 1, 'rebecca': 1, 'grapes': 1, 'wrath': 1, 'native': 1}"
25,1950,0.0,0.0,4.555555555555555,"{'the': 7, 'a': 3, 'and': 2, 'novel': 2, 'by': 2}","{'novel': 2, 'animal': 1, 'farm': 1, 'goodnight': 1, 'moon': 1}"
26,1960,0.0,0.0,2.7777777777777777,"{'the': 2, 'a': 2, 'fahrenheit': 1, '451': 1, 'lord': 1}","{'fahrenheit': 1, '451': 1, 'lord': 1, 'flies': 1, 'lolita': 1}"
27,1970,0.0,0.0,4.333333333333333,"{'the': 5, 'a': 2, 'autobiography': 1, 'of': 1, 'malcolm': 1}","{'autobiography': 1, 'malcolm': 1, 'x': 1, 'dune': 1, 'cold': 1}"
28,1980,0.0,0.0,4.666666666666667,"{'a': 5, 'the': 4, 'of': 3, 'fear': 1, 'and': 1}","{'fear': 1, 'loathing': 1, 'las': 1, 'vegas:': 1, 'savage': 1}"
29,1990,0.0,0.0,3.4444444444444446,"{'the': 8, 'color': 1, 'purple': 1, 'white': 1, 'noise': 1}","{'color': 1, 'purple': 1, 'white': 1, 'noise': 1, ""handmaid's"": 1}"
30,2000,0.0,0.0,3.2222222222222223,"{'the': 4, 'of': 3, 'secret': 1, 'history': 1, 'trainspotting': 1}","{'secret': 1, 'history': 1, 'trainspotting': 1, 'giver': 1, 'fight': 1}"
31,2010,0.0,0.0,4.111111111111111,"{'the': 6, 'atlas': 2, 'of': 2, 'in': 2, 'america': 2}","{'atlas': 2, 'america': 2, 'corrections': 1, 'noonday': 1, 'demon:': 1}"
32,2020,0.0,0.0,3.888888888888889,"{'the': 4, 'of': 4, 'a': 3, 'life': 2, 'road': 1}","{'life': 2, 'road': 1, 'half': 1, 'yellow': 1, 'sun': 1}"
